Month,Temperature (°C),Precipitation (mm)
January,4.9,26.6
February,5.1,27.6
March,8.0,42.3
April,11.0,28.5
May,14.8,25.7
June,19.8,13.5
July,23.4,5.0
August,22.4,10.3
September,18.0,36.0
October,14.1,27.9
November,8.4,39.5
December,5.6,30.3
