cod_est,FECHA,T_Med,Lluvia_acum
AL008,2020-04-13T00:00:00,10.74375,4.9
AL008,2020-04-14T00:00:00,10.8089166666667,0
AL008,2020-04-15T00:00:00,9.81875,3
AL008,2020-04-16T00:00:00,10.6504583333333,0
AL008,2020-04-17T00:00:00,11.98625,3.4
AL008,2020-04-18T00:00:00,11.074625,0.5
AL008,2020-04-19T00:00:00,11.41125,10.2
AL008,2020-04-20T00:00:00,10.2810416666667,0
AL008,2020-04-21T00:00:00,8.17933333333333,0
AL008,2020-04-22T00:00:00,10.8184166666667,0
AL008,2020-04-23T00:00:00,10.2098333333333,0
AL008,2020-04-24T00:00:00,10.5067083333333,0.1
AL008,2020-04-25T00:00:00,9.09670833333333,7.7
AL008,2020-04-26T00:00:00,12.1279166666667,0.3
AL008,2020-04-27T00:00:00,11.3005,0
AL008,2020-04-28T00:00:00,11.6870833333333,0
AL008,2020-04-29T00:00:00,12.8605416666667,0
AL008,2020-04-30T00:00:00,12.9566666666667,0
AL008,2020-05-01T00:00:00,15.7895833333333,0
AL008,2020-05-02T00:00:00,19.0595833333333,0
AL008,2020-05-03T00:00:00,18.5433333333333,0
AL008,2020-05-04T00:00:00,18.8704166666667,0
AL008,2020-05-05T00:00:00,20.52125,0
AL008,2020-05-06T00:00:00,18.675,0
AL008,2020-05-07T00:00:00,16.1254166666667,0
AL008,2020-05-08T00:00:00,16.92625,0
AL008,2020-05-09T00:00:00,16.3083333333333,0
AL008,2020-05-10T00:00:00,11.6608333333333,0.1
AL008,2020-05-11T00:00:00,13.71625,0
AL008,2020-05-12T00:00:00,10.1129583333333,7.9
AL008,2020-05-13T00:00:00,11.693125,0
AL008,2020-05-14T00:00:00,10.576625,3.8
AL008,2020-05-15T00:00:00,8.82875,13
AL008,2020-05-16T00:00:00,10.0744166666667,1.5
AL008,2020-05-17T00:00:00,11.3775,0.9
AL008,2020-05-18T00:00:00,15.73125,0
AL008,2020-05-19T00:00:00,19.3520833333333,0
AL008,2020-05-20T00:00:00,20.4579166666667,0
AL008,2020-05-21T00:00:00,20.9641666666667,0
AL008,2020-05-22T00:00:00,21.6841666666667,0
AL008,2020-05-23T00:00:00,20.6329166666667,0
AL008,2020-05-24T00:00:00,18.15625,0
AL008,2020-05-25T00:00:00,16.7125,0
AL008,2020-05-26T00:00:00,17.3741666666667,0
AL008,2020-05-27T00:00:00,16.7304166666667,0
AL008,2020-05-28T00:00:00,15.5454166666667,0
AL008,2020-05-29T00:00:00,17.03875,0
AL008,2020-05-30T00:00:00,16.887,0
AL008,2020-05-31T00:00:00,16.8758333333333,0
AL008,2020-06-01T00:00:00,17.4829166666667,0
AL008,2020-06-02T00:00:00,18.5620833333333,0
AL008,2020-06-03T00:00:00,20.29625,0
AL008,2020-06-04T00:00:00,17.2391666666667,0
AL008,2020-06-05T00:00:00,18.7733333333333,0
AL008,2020-06-06T00:00:00,20.3175,0
AL008,2020-06-07T00:00:00,18.3695833333333,0
AL008,2020-06-08T00:00:00,16.29,0
AL008,2020-06-09T00:00:00,14.33575,0.1
AL008,2020-06-10T00:00:00,17.98,0
AL008,2020-06-11T00:00:00,18.5208333333333,0
AL008,2020-06-12T00:00:00,15.3520833333333,0
AL008,2020-06-13T00:00:00,16.2570833333333,0
AL008,2020-06-14T00:00:00,18.8995833333333,0
AL008,2020-06-15T00:00:00,20.4379166666667,0
AL008,2020-06-16T00:00:00,20.3775,0
AL008,2020-06-17T00:00:00,19.4016666666667,0
AL008,2020-06-18T00:00:00,19.0695833333333,0
AL008,2020-06-19T00:00:00,18.5733333333333,1.3
AL008,2020-06-20T00:00:00,20.6916666666667,0.1
AL008,2020-06-21T00:00:00,23.5358333333333,0
AL008,2020-06-22T00:00:00,21.3633333333333,0
AL008,2020-06-23T00:00:00,20.9395833333333,0
AL008,2020-06-24T00:00:00,22.3075,0
